0.1130000000,0.9250000000,10.4000000000,3.1000000000,0.0000369048,40.2580645161,2.4154838710,3.2206451613,1.0500000000,6.8300000000
0.1280000000,0.9000000000,9.3000000000,3.1000000000,0.0000276786,48.0000000000,2.8800000000,2.8800000000,0.9800000000,6.2100000000
0.1430000000,0.9000000000,6.1000000000,1.9000000000,0.0000169643,51.3684210526,3.0821052632,3.0821052632,1.0100000000,6.2500000000
0.1700000000,0.9000000000,17.6000000000,5.1000000000,0.0000455357,55.2156862745,3.3129411765,3.3129411765,1.1200000000,6.6900000000
0.2880000000,0.9140000000,26.5000000000,9.0000000000,0.0000934385,40.5155555556,2.4309333333,2.8266666667,0.9500000000,5.0300000000
0.3850000000,0.9060000000,30.4000000000,9.7000000000,0.0000921353,47.1356701031,2.8281402062,3.0086597938,1.0000000000,4.9300000000
0.4070000000,0.9050000000,47.0000000000,13.9000000000,0.0001306391,51.3956834532,3.0837410072,3.2460431655,1.0800000000,5.2500000000
0.6120000000,0.9060000000,62.8000000000,22.0000000000,0.0002089666,42.9323636364,2.5759418182,2.7403636364,0.9200000000,4.0100000000
0.8000000000,0.8880000000,36.1000000000,11.0000000000,0.0000876913,58.8101818182,3.5286109091,3.1505454545,1.0600000000,4.2700000000
1.0400000000,0.9150000000,28.0000000000,9.1000000000,0.0000955882,41.8461538462,2.5107692308,2.9538461538,0.9900000000,3.6600000000
1.2900000000,0.9040000000,21.1000000000,5.2000000000,0.0000483631,62.3261538462,3.7395692308,3.8953846154,1.3200000000,4.5300000000
1.3870000000,0.8920000000,45.4000000000,11.3000000000,0.0000934193,69.4258407080,4.1655504425,3.8569911504,1.2800000000,4.2700000000
1.7500000000,0.8900000000,44.4000000000,12.7000000000,0.0001030844,61.5307086614,3.6918425197,3.3562204724,1.1100000000,3.3800000000
1.8400000000,0.8880000000,44.3000000000,13.6000000000,0.0001084184,58.3717647059,3.5023058824,3.1270588235,1.0400000000,3.1000000000
2.2400000000,0.8900000000,38.2000000000,12.6000000000,0.0001022727,53.3587301587,3.2015238095,2.9104761905,0.9600000000,2.6200000000
2.3960000000,0.8990000000,57.2000000000,14.5000000000,0.0001281825,63.7484137931,3.8249048276,3.7870344828,1.2600000000,3.3400000000
3.6430000000,0.8750000000,185.0000000000,39.9000000000,0.0002850000,92.7318295739,5.5639097744,4.4511278195,1.4900000000,3.2000000000
